version_revision,orden_revision,chunk_uid,titulo_objetivo,contenido_objetivo,titulo_anterior,contenido_anterior,titulo_siguiente,contenido_siguiente,estado_asignacion_referencia,dominios_referencia,materialidad_referencia,justificacion_referencia,requiere_revision_experta,anotador,fecha_revision
revision-contexto-v1,1,137ed74b6c5973876612a6758673432aebaefb0460c24f02431dfb88aba6664e,ARTÍCULO 3°.-,Las disposiciones del presente decreto entrarán en vigencia el día de su publicación en el BOLETÍN OFICIAL.,ARTÍCULO 2°.-,"Incorpórase como segundo párrafo del artículo 1° del Decreto N° 466 del 27 de mayo de 2024 el siguiente: ""El incremento total en los montos de impuesto a que se refiere el
primer párrafo de este artículo que resulte de las actualizaciones
correspondientes al cuarto trimestre calendario del año 2023 y al
primer trimestre calendario del año 2024 y el que se origine en la
actualización correspondiente al segundo trimestre calendario del año
2024, en los términos del artículo 7° del Anexo del Decreto N° 501/18,
surtirán efectos respecto de la nafta sin plomo, la nafta virgen y el
gasoil, para los hechos imponibles que se perfeccionen desde el 1° de
octubre de 2024, inclusive"".",ARTÍCULO 4°.-,"Comuníquese, publíquese, dese a la DIRECCIÓN NACIONAL DEL REGISTRO OFICIAL y archívese. MILEI - Guillermo Francos - Luis Andres Caputo
e. 30/08/2024 N° 59125/24 v. 30/08/2024",,,,,,,
revision-contexto-v1,2,cd1cfafa2b68b79259389389efb1a72f1b73b1e4cb2cb0797ac8031fda85d35f,ARTÍCULO 1°.-,"correspondan. (Párrafo incorporado por art. 1° del
[Decreto N° 752/2019](\\servicios.infoleg.gob.ar\infolegInternet\verNorma.do?id=331094)
B.O. 1/11/2019)",ARTÍCULO 1°.-,"La venta de los productos de la canasta alimentaria que se detallan en el Anexo (IF-2019-73155740-APN-SCI#MPYT) que forma parte integrante de la presente medida, estará alcanzada por una alícuota equivalente al CERO POR CIENTO (0%) en el impuesto al valor agregado, establecido por la Ley de Impuesto al Valor Agregado, texto ordenado en 1997 y sus modificaciones, cuando se comercialicen a consumidores finales. Asimismo, se encontrarán alcanzadas por dicha alícuota las ventas de
los productos mencionados, que se realicen a los siguientes sujetos: a) Monotributistas; b) Responsables inscriptos, cuyas ventas totales anuales no superen los
montos establecidos en la Resolución N° 220 del 12 de abril de 2019 de
la SECRETARÍA DE EMPRENDEDORES Y DE LA PEQUEÑA Y MEDIANA EMPRESA del
MINISTERIO DE PRODUCCIÓN Y TRABAJO para la categoría ""micro"", y
desarrollen como actividad principal alguna de las actividades
económicas que se detallan en el ANEXO II
(IF-2019-78485372-APN-SCI#MPYT) de la presente medida. (Segundo párrafo incorporado por art. 1° del
[Decreto N° 603/2019](\\servicios.infoleg.gob.ar\infolegInternet\verNorma.do?id=327564)
B.O. 2/9/2019) El ESTADO NACIONAL financiará con recursos propios y cargo a Rentas
Generales, respecto de todas las provincias y la CIUDAD AUTÓNOMA DE
BUENOS AIRES, los efectos fiscales de lo dispuesto en el presente
decreto mediante la transferencia de montos estimados con base en
proyecciones de consumo. (Párrafo incorporado por art. 1° del
[Decreto N° 752/2019](\\servicios.infoleg.gob.ar\infolegInternet\verNorma.do?id=331094)
B.O. 1/11/2019) La ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS, organismo autárquico en
la órbita del MINISTERIO DE HACIENDA, informará a la SECRETARÍA DE
HACIENDA de dicho Ministerio los montos definitivos que al respecto",ARTÍCULO 2º.-,"La presente medida comenzará a regir a partir de su publicación en el Boletín Oficial, hasta el 31 de diciembre de 2019, inclusive.",,,,,,,
revision-contexto-v1,3,f2db7b667c66770dc61479a7ccf468c67762a593786018564e7bff088ced17a5,ARTÍCULO 2° -,"A los efectos de controlar la operatoria a que se refiere el artículo anterior, esta Administración Federal podrá implementar un procedimiento de intercambio de información con la Administración Nacional de Seguridad Social.",ARTÍCULO 1° -,"En los casos previstos en el inciso c) del Artículo 7° de la Ley N° 27.260, de conformidad con lo dispuesto en el Artículo 6° del Decreto N° 894/16 y en la Resolución N° 306/16 (ANSES), la representación letrada del beneficiario previsional que -en el marco del Programa Nacional de Reparación Histórica para Jubilados y Pensionados- intervenga en la celebración y homologación del acuerdo transaccional, queda exceptuada de la obligación de emitir comprobantes según los regímenes de facturación vigentes, por los importes que en concepto de honorarios y gastos perciban de la Administración Nacional de la Seguridad Social, más -de corresponder- el impuesto al valor agregado sobre los honorarios, en virtud del desarrollo de dichas tareas. De corresponder, los referidos importes sufrirán la retención del
impuesto a las ganancias y del impuesto al valor agregado que efectúe
Administración Nacional de la Seguridad Social, de acuerdo con lo
establecido por los regímenes respectivos.",ARTÍCULO 3° -,"Regístrese, publíquese, dése a la Dirección Nacional del Registro Oficial y archívese. - Alberto Abad.",,,,,,,
revision-contexto-v1,4,d5276d92bd5c3c7b70167d71f053a426a3a80b84ce440b9480c601db7890f28f,ARTÍCULO 2º.-,"La presente medida comenzará a regir a partir de su publicación en el Boletín Oficial, hasta el 31 de diciembre de 2019, inclusive.",ARTÍCULO 1°.-,"correspondan. (Párrafo incorporado por art. 1° del
[Decreto N° 752/2019](\\servicios.infoleg.gob.ar\infolegInternet\verNorma.do?id=331094)
B.O. 1/11/2019)",ARTÍCULO 3º.-,"Comuníquese, publíquese, dése a la DIRECCIÓN NACIONAL DEL REGISTRO OFICIAL y archívese. MACRI - Marcos Peña - Dante Sica - Nicolas Dujovne NOTA: El/los Anexo/s que integra/n este(a) Decreto se publican en la edición web del BORA -www.boletinoficial.gob.ar-
e. 16/08/2019 N° 60440/19 v. 16/08/2019
( Nota
Infoleg: Los anexos referenciados en la presente norma han sido extraídos de la
edición web de Boletín Oficial.)
ANEXO
a.  Aceite de girasol, maíz y mezcla. b. Arroz. c.  Azúcar. d. Conservas de frutas, hortalizas y legumbres. e.  Harina de maíz. f.  Harinas de trigo. g. Huevos. h. Leche fluida entera o descremada con aditivos. i.  Pan. j.  Pan rallado y/o rebozador. k. Pastas secas. l.  Yerba mate, mate cocido y té. m.  Yogur entero y/o descremado.
ANEXO II",,,,,,,
revision-contexto-v1,5,c1e9831fdec37d9cb5c713eea42d646bb2bd82882c14bf66b0f837c4bd4e15d7,Artículo 1° -,"Dispónese la
extinción del Contrato de Fideicomiso para Consumos Residenciales de
Gas Licuado de Petróleo aprobado por Resolución N° 1.080 de fecha 1° de
octubre de 2008 de la SECRETARÍA DE ENERGÍA DEL MINISTERIO DE
PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS, con los
siguientes alcances: a) El Fideicomiso entrará en estado de liquidación a partir del 1 de abril de 2015. b) El Fiduciario percibirá con imputación al Fideicomiso los conceptos
especificados en el artículo 10 del Contrato de Fideicomiso de fecha 1
de octubre de 2008, devengados hasta el 31 de marzo de 2015. c) El Fiduciario aplicará los Activos Fideicomitidos, en el modo
estipulado en el Contrato de Fideicomiso de fecha 1° de octubre de
2008, al pago de las acreencias, devengadas hasta el 31 de marzo de
2015, de los Beneficiarios que presenten las respectivas Declaraciones
Juradas hasta el 30 de junio de 2015 y demás erogaciones vinculadas a
la liquidación del fideicomiso. En caso que dichos activos resultaren
insuficientes para cancelar estas obligaciones, la Autoridad de
Aplicación realizará los aportes que sean necesarios al efecto. d) Una vez pagadas la totalidad de las Acreencias, y cancelados los
gastos, impuestos y cargas del fideicomiso, el fiduciario transferirá
el saldo remanente al ESTADO NACIONAL, conforme instruya la SECRETARÍA
DE ENERGÍA, oportunidad en la cual quedará resuelto y extinguido el
Contrato de Fideicomiso, procediendo las partes a suscribir la
documentación que corresponda al cierre de la fiducia. e) Cumplido lo anterior, el Fiduciario remitirá a la Autoridad de
Aplicación, y pondrá a disposición de los Fiduciantes, el balance de
liquidación, que constituirá la rendición de cuentas del Fiduciario.",,,Art. 2° -,"Apruébase el Modelo
de Contrato de Fideicomiso para Consumos Residenciales de Gas Licuado
de Petróleo a suscribirse entre ésta SECRETARÍA DE ENERGÍA y NACIÓN
FIDEICOMISOS S.A. (NAFISA), que como ANEXO forma parte integrante de la
presente Resolución.",,,,,,,
revision-contexto-v1,6,3dfc0e4f135e62b1f1ec55517b57cf1b332c2df666f56e5c8bec25b4fb0669a2,ARTÍCULO 3º.-,"Comuníquese, publíquese, dése a la DIRECCIÓN NACIONAL DEL REGISTRO OFICIAL y archívese. MACRI - Marcos Peña - Dante Sica - Nicolas Dujovne NOTA: El/los Anexo/s que integra/n este(a) Decreto se publican en la edición web del BORA -www.boletinoficial.gob.ar-
e. 16/08/2019 N° 60440/19 v. 16/08/2019
( Nota
Infoleg: Los anexos referenciados en la presente norma han sido extraídos de la
edición web de Boletín Oficial.)
ANEXO
a.  Aceite de girasol, maíz y mezcla. b. Arroz. c.  Azúcar. d. Conservas de frutas, hortalizas y legumbres. e.  Harina de maíz. f.  Harinas de trigo. g. Huevos. h. Leche fluida entera o descremada con aditivos. i.  Pan. j.  Pan rallado y/o rebozador. k. Pastas secas. l.  Yerba mate, mate cocido y té. m.  Yogur entero y/o descremado.
ANEXO II",ARTÍCULO 2º.-,"La presente medida comenzará a regir a partir de su publicación en el Boletín Oficial, hasta el 31 de diciembre de 2019, inclusive.",,,,,,,,,
